file_name,text,summary
call1.m4a," Thank you for calling me, son. My name is Lauren. Can I have your name? My name is John Smith. Thank you, John. How can I help you? I was just calling about to see how much it would cost to update the map in my car. I'd be happy to help you with that today. Did you receive a mail-air from us? I did. Do you need a customer number? Yes, please. Okay. It's 15243. Thank you. And the year-making model of your vehicle? Yeah, I have a 2009 Nissan Altima. Oh, nice car. Yeah, thank you. We really enjoy it. Okay, I think I found your profile here. Can I have you verify your address and phone number, please? Yes. It's 1255 North Research Way. That's an ORM Utah 84097. And my phone number is A-01-431-1000. Thanks, John. I located your information. The newest version we have available for your vehicle is version 7.7, which was released in March of 2012. The price of the new map is $99, plus shipping and tax. Let me go ahead and set up this order for you. Can we wait just a second? I'm not really sure if I can afford it right now. All right. Well, here are a few reasons to consider purchasing today. It looks as though you haven't updated your vehicle for three years. So that would be the equivalent of getting three years worth of updates for the price of one. Oh, okay. In addition, special offers like the current promotion don't come around too often. I would definitely recommend taking advantage of the extra $50 off before it expires. Yeah, that does sound pretty good. If I set this order up for you now, it'll ship out today and for $50 less. Do you have your credit card handy? And I can place this order for you now. Yeah, let's go ahead and use a visa. My number is...","John Smith called to inquire about updating his car's map, resulting in a decision to purchase the latest version at a discounted rate."
call2.m4a," Thank you for calling Martha's Flores, Thomas Sisy. Hello, I'd like to order flowers and I think you have what I'm looking for. I'd be happy to take care of your order. May I have your name please? Randall Thomas. Randall Thomas, can you spell that for me? Randall, AN, B-A-L-L, Thomas, TH-O, M-A-S. Thank you for that information Randall. May I have your home or office number area code first? Ericko 409, then 5865088. That's 409 866 5088. Do you have a fax number or email address? Email is www.randall.com Randall.Thomas.atgmail.com may have your shipping address. 6800. Okay. Glad it's Avenue, Belmont, Texas, Zip Code, 7706. Thank you for the information. What products were you interested in purchasing? Red roses, probably a dozen. One dozen of red roses? Do you want long stems? Sure. Alright Randall, let me process your order. One moment please. Okay. Randall, you're ordering one dozen long-stent red roses. The total amount of your order is $40. And it will be shipped to your address within 24 hours. I was thinking of delivering my roses again. Within 24 hours. Okay, no problem. Is there anything else I can help you with? That's all for now, thanks. No problem, Randall. Thank you for calling Martha's Flores. Have a nice day. You","Randall Thomas called to order a dozen long-stem red roses from Martha's Flores, resulting in a $40 order to be shipped within 24 hours."
call1.m4a,10:19 AM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call2.m4a,10:20 AM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call2.m4a,10:20 AM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call2.m4a,10:25 AM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,10:25 AM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his car. The representative, Lauren, informs him that the updated version is available for $99 plus shipping and tax, and offers to place his order for a new version that is available for $50 less. John agrees to pay with his credit card and takes the order."
call1.m4a,10:28 AM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his car. The representative, Lauren, informs him that the updated version is available for $99 plus shipping and tax, and offers to place his order for a new version that is available for $50 less. John agrees to pay with his credit card and takes the order."
call1.m4a,10:29 AM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call1.m4a,10:30 AM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his car. The representative, Lauren, informs him that the updated version is available for $99 plus shipping and tax, and offers to place his order for a new version that is available for $50 less. John agrees to pay with his credit card and takes the order."
call1.m4a,10:35 AM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the cost of updating the map is $99 plus shipping and tax, and offers to place an order for him to ship out today and get a $50 discount. John agrees to use his credit card and takes the order."
call1.m4a,10:39 AM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his car. The representative, Lauren, informs him that the updated version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call1.m4a,10:40 AM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the cost of updating the map is $99 plus shipping and tax, and offers to place an order for him with the current promotion. John agrees to use his credit card and takes the order."
call2.m4a,10:40 AM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call2.m4a,10:41 AM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,10:42 AM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call1.m4a,10:43 AM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the cost of updating the map is $99 plus shipping and tax, and offers to place an order for him with the current promotion. John agrees to use his credit card and takes the order."
call2.m4a,10:43 AM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,02:03 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the cost of updating the map is $99 plus shipping and tax, and offers to place an order for him to ship out today and get a $50 discount. John agrees to use his credit card and takes the order."
call2.m4a,02:04 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,02:54 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call2.m4a,02:54 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,03:15 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call2.m4a,03:25 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,03:25 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the cost of updating the map is $99 plus shipping and tax, and offers to place an order for him to ship out today and get a $50 discount. John agrees to use his credit card and takes the order."
call2.m4a,03:25 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call2.m4a,03:57 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,03:58 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the cost of updating the map is $99 plus shipping and tax, and offers to place an order for him with the current promotion. John agrees to use his credit card and takes the order."
call2.m4a,03:58 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,04:00 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the cost of updating the map is $99 plus shipping and tax, and offers to place an order for him with the current promotion. John agrees to use his credit card and takes the order."
call1.m4a,04:01 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the cost of updating the map is $99 plus shipping and tax, and offers to place an order for him with the current promotion. John agrees to use his credit card and takes the order."
call2.m4a,04:49 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call2.m4a,04:56 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,04:57 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call2.m4a,04:57 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call2.m4a,04:59 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call2.m4a,05:06 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
