speaker,text
Speaker 00,"Honestly, it's fine. We use spreadsheets mostly. It's free, and I don't really have time to train my team on something new."
Speaker 01,"I totally understand. Transitioning tools is a headache. But usually, when I hear ""spreadsheets,"" it means you're spending more time cleaning data than selling. How many hours a week do you think you lose to data entry?"
Speaker 00,"Probably 5-10 hours, honestly. But it's just too expensive to switch."
Speaker 01,What if I told you that our automation feature saves the average user 8 hours a week? That pays for the software in the first month.
Speaker 00,Maybe. But I don't think it integrates with our email system.
Speaker 01,"It does, actually. We have a native integration for [Email Tool]. I can show you in a 5-minute screen share right now if you have a second?"
Speaker 00,"Okay, 5 minutes. But no promises."
Speaker 01,"*shares screen* As you can see, when you click here, it populates the client data automatically..."
Speaker 00,"Wow, that is actually faster."
Speaker 01,"It's a game-changer. Let’s get you on the Pro plan so you can automate those follow-ups, too. Does that work?"
Speaker 00,"Send me the invoice, let's try it for a month."
Speaker 01,"Perfect. Invoice sent. I'll also send a calendar link for your onboarding session. Welcome aboard, Mike!"
